物料清单数据导出
导出时间: 2026-06-08T14:28:19.966529
总记录数: 72
================================================================================

record_id	物料名称	物料代号	生产商	物料级别	文件名称	质量标准	工艺名称
recvfwzT5zBRKw	[{'text': '0.45μm PVDF筒式5英寸滤芯', 'type': 'text'}]	[{'text': 'CM003', 'type': 'text'}]	[{'text': 'EMD Millipore Corporation', 'type': 'text'}]	[{'text': '耗材', 'type': 'text'}]		[{'text': 'N/A', 'type': 'text'}]	['制剂']
recvfwzT5zwUzQ	[{'text': '0.22μm PVDF筒式5英寸滤芯', 'type': 'text'}]	[{'text': 'CM004', 'type': 'text'}]	[{'text': 'EMD Millipore Corporation', 'type': 'text'}]	[{'text': '耗材', 'type': 'text'}]		[{'text': 'N/A', 'type': 'text'}]	['制剂']
recvfwZv5lPOMT	[{'text': 'Unopen笔式注射器组件-笔帽', 'type': 'text'}]	[{'text': 'PM099a', 'type': 'text'}]	[{'text': '医沛生股份有限公司', 'type': 'text'}]	[{'text': '次级包材', 'type': 'text'}]		[{'text': 'SPC-PM-0099', 'type': 'text'}]	['包装']
recvfwZvAZ6mXu	[{'text': 'Unopen笔式注射器组件-笔芯架', 'type': 'text'}]	[{'text': 'PM100a', 'type': 'text'}]	[{'text': '医沛生股份有限公司', 'type': 'text'}]	[{'text': '次级包材', 'type': 'text'}]		[{'text': 'SPC-PM-0100', 'type': 'text'}]	['包装']
recvfwZvAZTXoU	[{'text': 'Unopen笔式注射器组件-剂量调节旋钮', 'type': 'text'}]	[{'text': 'PM101a', 'type': 'text'}]	[{'text': '医沛生股份有限公司', 'type': 'text'}]	[{'text': '次级包材', 'type': 'text'}]		[{'text': 'SPC-PM-0101', 'type': 'text'}]	['包装']
recvfwZvAZVPpg	[{'text': '储能型笔式注射器-笔帽', 'type': 'text'}]	[{'text': 'PM099c', 'type': 'text'}]	[{'text': '苏州嘉树医疗科技有限公司', 'type': 'text'}]	[{'text': '次级包材', 'type': 'text'}]		[{'text': 'SPC-PM-0099', 'type': 'text'}]	['包装']
recvfwZvAZKoU3	[{'text': '储能型笔式注射器-笔芯架', 'type': 'text'}]	[{'text': 'PM100d', 'type': 'text'}]	[{'text': '苏州嘉树医疗科技有限公司', 'type': 'text'}]	[{'text': '次级包材', 'type': 'text'}]		[{'text': 'SPC-PM-0100', 'type': 'text'}]	['包装']
recvfwZvAZYvy2	[{'text': '储能型笔式注射器-剂量调节旋钮', 'type': 'text'}]	[{'text': 'PM101m', 'type': 'text'}]	[{'text': '苏州嘉树医疗科技有限公司', 'type': 'text'}]	[{'text': '次级包材', 'type': 'text'}]		[{'text': 'SPC-PM-0101', 'type': 'text'}]	['包装']
recvfx02IwW0NG	[{'text': '司美格鲁肽注射液笔签（1.34mg/ml,1.5ml）', 'type': 'text'}]	[{'text': 'PM029e', 'type': 'text'}]	[{'text': '珠海市豪迈实业有限公司', 'type': 'text'}]	[{'text': '标签', 'type': 'text'}]		[{'text': 'SPC-PM-0029', 'type': 'text'}]	['包装']
recvfx03tNz4pD	[{'text': '司美格鲁肽注射液包装小内盒', 'type': 'text'}]	[{'text': 'PM070', 'type': 'text'}]	[{'text': '珠海皆通包装纸品有限公司', 'type': 'text'}]	[{'text': '印刷包材', 'type': 'text'}]		[{'text': 'SPC-PM-0070', 'type': 'text'}]	['包装']
recvfx03tNPVZU	[{'text': '司美格鲁肽注射液包装小内盒', 'type': 'text'}]	[{'text': 'PM070a', 'type': 'text'}]	[{'text': '江门尚雅包装有限公司', 'type': 'text'}]	[{'text': '印刷包材', 'type': 'text'}]		[{'text': 'SPC-PM-0070', 'type': 'text'}]	['包装']
recvfx03tN3czX	[{'text': '司美格鲁肽注射液空白注射笔包装盒', 'type': 'text'}]	[{'text': 'PM111', 'type': 'text'}]	[{'text': '珠海市豪迈实业有限公司', 'type': 'text'}]	[{'text': '印刷包材', 'type': 'text'}]		[{'text': 'SPC-PM-0111', 'type': 'text'}]	['包装']
